,Model,FaroeseSTS,FinParaSTS,GermanSTSBenchmark,IndicCrosslingualSTS,JSICK,SICK-R,STS12,STS13,STS14,STS15,STS17,STS22.v2,STSB,STSBenchmark,STSES,SemRel24STS
0,Octen-Embedding-8B,86.7066,34.560100000000006,90.03365,61.882000000000005,89.6312,88.1647,86.2443,93.99929999999999,90.5207,93.81960000000001,91.78522727272728,73.95161666666668,86.2974,93.6123,74.8068,64.3686
1,Qwen3-Embedding-8B,87.2092,33.768600000000006,89.8077,61.612808333333334,89.38279999999999,88.5986,86.1378,94.22160000000001,90.4208,93.729,92.123,72.58547222222221,85.4981,93.6023,74.07939999999999,64.42776666666667
2,llama-embed-nemotron-8b,83.9302,26.558349999999997,88.996,58.175808333333336,83.79910000000001,85.3703,83.3584,91.9601,87.8389,91.8253,89.9556909090909,71.54202222222223,86.13969999999999,90.5535,80.3377,70.27585833333333
3,Qwen3-Embedding-4B,85.84960000000001,33.98695,90.0137,60.82089166666667,88.8302,88.0603,86.6139,94.3863,90.9367,93.76729999999999,91.78071818181817,72.95217777777778,86.10275,93.6965,72.7514,63.166875
4,gemini-embedding-001,86.1155,28.603449999999995,88.09325,62.874783333333326,84.9949,82.74770000000001,81.5489,89.887,85.4098,90.4404,88.57540909090909,71.69129444444444,85.4982,89.0753,81.74900000000001,73.13653333333333
5,bilingual-embedding-large,79.0172,27.5016,87.3049,45.948283333333336,83.45949999999999,81.0146278511025,85.52036823639511,89.36590409791387,91.60879188296313,92.02450415044238,88.70915251373806,71.34637222222221,84.93280000000001,89.28237056532355,80.3175,67.57848333333332
6,KaLM-Embedding-Gemma3-12B-2511,86.7355,29.92645,88.5031,63.43688333333334,84.9183,82.4593,80.9175,89.8287,85.9142,90.1293,87.31291818181819,70.25223333333334,84.4915,88.9996,79.40939999999999,71.05351666666667
7,Qwen3-Embedding-0.6B,74.3312,26.321749999999998,84.90105,38.97911666666667,86.6246,84.8283,82.9953,91.75529999999999,87.1015,91.4472,85.50388181818181,71.83335555555556,84.61959999999999,91.1297,76.9487,59.37311666666667
8,Seed1.6-embedding-1215,74.6404,31.4212,86.49045,32.307625,88.298,85.34089999999999,82.9333,90.7732,90.1132,91.40169999999999,81.6033090909091,68.99971111111111,84.0857,89.4044,78.69709999999999,58.236158333333336
9,jina-embeddings-v3,80.81871117320544,22.378369514955132,87.87181364240149,54.662617737889555,78.16101828927972,89.6184310325287,82.43843925205465,89.48997027157911,84.95370207075369,89.31983553904263,85.93804335071763,71.14370552850424,85.4102691003267,89.42710598569711,77.86980293198451,64.5808468036827
10,SFR-Embedding-Mistral,79.3127,19.8898,86.4393,22.849208333333333,83.7372,82.92294737327579,79.46865215168464,89.15419511870839,84.93199878424691,90.7407512744838,92.01519349090438,68.88672777777778,83.56275,88.99708463265337,76.89540000000001,66.90585833333333
11,Linq-Embed-Mistral,80.03620000000001,18.9342,86.1437,22.255258333333337,84.3428,84.30523596401186,78.44413657529002,88.26850223126127,84.49441798385489,90.27866978947013,92.68185242943188,69.71411666666667,83.16335,88.80650007123052,78.561,67.40269166666667
12,multilingual-e5-large-instruct,80.43799892800864,25.615327512474305,85.91879766484158,53.68853300825269,82.55017107192334,81.73085443529001,82.52836101249812,88.05498843767127,84.82883151106293,91.02208309425296,85.96897124958758,68.95046564954582,83.09800997629712,88.39290178655834,77.07534827243025,69.17308958236403
13,e5-mistral-7b-instruct,78.31946771080547,20.57879181482765,85.66991448217436,22.981297058285943,83.54828172469371,82.64168405010996,79.65304787099163,88.42693188284633,84.53916226397308,90.42497351106816,85.17116133130891,67.58185609705276,83.28891491867842,88.59956806069064,76.54646568695226,66.37408186274176
14,text-multilingual-embedding-002,79.7079,21.7643,84.49804999999999,53.5552,83.3242,80.77590000000001,79.18549999999999,88.75319999999999,83.4547,88.6594,83.76853636363637,70.54028333333333,81.20575,87.6198,80.3606,70.641425
15,embeddinggemma-300m,65.301,25.224650000000004,84.66905,43.06836666666667,84.3984,81.3676,79.3211,86.4161,83.6713,89.3485,84.41624545454545,71.20166111111111,81.6367,88.16460000000001,82.3051,65.22101666666667
16,jasper_en_vision_language_v1,70.0253,18.130499999999998,83.92855,11.053675,79.3177,82.234,80.2578,89.69200000000001,85.3155,90.1574,78.3472,69.84303888888888,82.08539999999999,88.8456,79.8621,54.96155
17,bilingual-embedding-base,74.355,20.072400000000002,83.884,45.239175,81.9487,79.49310740723678,79.59450354665624,84.70010174539925,83.91546630697559,89.87899103812357,88.69212374652548,67.54345,82.44355,87.44031003802738,81.362,66.93188333333335
18,Cohere-embed-multilingual-v3.0,75.95309999999999,28.23905,82.5937,46.727516666666666,77.1914,82.1820253476181,77.62042143066208,85.15620774806095,80.01967438481185,88.92297656560552,90.08752166657892,69.35949444444445,81.41585,88.78683817318573,78.75760000000001,63.8431
19,STS-multilingual-mpnet-base-v2,97.3917,26.973950000000002,95.40905,84.76556666666667,83.0754,94.65249999999999,95.4619,97.7636,97.52929999999999,98.1124,0.8798064972795825,65.09693888888889,91.9857,0.9762486352335524,71.5904,56.28870833333334
20,gte-Qwen2-7B-instruct,72.47030523460988,25.7195529264813,84.75471109539576,41.814246601955254,73.20416551353325,79.15962683643262,79.52565322917206,88.96943154592363,83.86537189895273,88.48375378824065,85.87071943485364,69.3392330957762,82.46545065922575,86.81105691398511,78.30337680474653,62.94644141747185
21,NV-Embed-v2,76.5184,11.8928,81.22409999999999,13.376316666666668,79.6515,82.14763206055602,77.89286260403269,88.30238972017452,84.29920990970672,89.03555007807218,90.66976712249057,61.40383333333334,77.55105,88.40520383147418,76.058,59.153299999999994
22,GritLM-8x7B,75.17412143009663,20.079960731368924,84.5956147247001,27.20565589380371,81.56952164325557,80.56596360704134,73.69103876926383,85.84537862684346,82.04633406211417,88.81340550511095,85.92753995349884,70.08303783111293,80.82807037325122,87.46088823673782,80.31875222821118,66.35383449093746
23,GritLM-7B,75.55661848971026,22.715692027055358,81.73166793520105,27.245619705709046,85.63182770798646,83.12714130007382,77.33852878004329,85.040275646636,82.90819992299015,88.12508895141099,84.38532687280109,69.38290263891328,79.03608450123514,85.64422693135457,79.81620069387338,65.56195908195133
24,bilingual-embedding-small,76.4524,17.83505,83.0576,47.767,81.3258,74.64910820402831,79.39117869636218,85.3226077419183,83.89978896960656,88.46744045180212,85.76725038940407,68.36987222222223,81.3666,86.0757276289371,80.9764,65.514025
25,gte-Qwen2-1.5B-instruct,68.4519,17.50045,81.2812,22.661224999999998,75.413,80.49030614009419,77.25370084896514,87.79454220555091,82.91015471820322,88.45414278092397,90.32542469203855,69.39835555555555,79.39715677296854,86.37572865993327,76.5209,61.532025000000004
26,stella_en_1.5B_v5,64.77624234117043,18.049866467893338,81.38993724328965,11.361840565059628,77.8662108892012,82.40165924558951,78.55520488226414,88.62429790970509,83.31890044293463,88.50644215638907,75.4324048725048,68.98296997422999,80.50913806120911,87.4855111372355,79.03547695055785,52.189589396246795
27,BOOM_4B_v1,75.1138,21.99305,82.50715,53.371925,82.5712,79.9824,77.4342,86.6784,79.3612,87.1027,84.88310909090909,67.30108333333334,81.28014999999999,86.9882,78.94069999999999,64.90451666666667
28,multilingual-e5-large,72.38825717388578,24.9215,84.0798,43.86616217853115,79.8065,80.23155937954839,80.0197793697849,81.55024883174237,77.72248064874142,89.30888242498176,82.13768001321604,64.30422816304919,82.35674320152246,87.29412528181399,80.21052030021173,62.6598589526731
29,bge-m3-custom-fr,77.71050000000001,30.422499999999996,82.94585,52.0987,82.12270000000001,77.63250000000001,81.355,81.5511,80.0594,88.0237,80.24752727272727,68.89207777777779,82.7647,84.9036,77.97659999999999,66.39303333333334
30,gte-multilingual-base,71.71043504672767,19.899749832034093,83.07067566212521,41.36584389092463,80.08282435699905,79.34202518512105,77.50749639238504,85.55376747969324,81.67569532872871,88.94403930558215,82.58805312157543,68.78580575615442,82.69553867913557,86.4554908309818,70.77059615617489,65.22819384023778
31,LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,56.09119999999999,12.28635,69.6469,11.996699999999999,77.398,83.6969699802343,78.8031221769135,86.37435789895171,84.04036612478626,88.99055778929946,90.1862731405498,62.03485,69.50265,88.65370934976113,74.5069,51.758633333333336
